datetime,open,high,low,close,volume
05/12/2025,102920.074689071,102920.074689071,102920.074689071,102920.074689071,0
05/13/2025,104145.711825248,104145.711825248,104145.711825248,104145.711825248,0
05/14/2025,103572.719642022,103572.719642022,103572.719642022,103572.719642022,0
05/15/2025,103716.283947399,103716.283947399,103716.283947399,103716.283947399,0
05/16/2025,103566.269191116,103566.269191116,103566.269191116,103566.269191116,0
05/17/2025,103190.041364991,103190.041364991,103190.041364991,103190.041364991,0
05/18/2025,106015.689848919,106015.689848919,106015.689848919,106015.689848919,0
05/19/2025,105615.828960257,105615.828960257,105615.828960257,105615.828960257,0
05/20/2025,106893.330247516,106893.330247516,106893.330247516,106893.330247516,0
05/21/2025,109704.855619521,109704.855619521,109704.855619521,109704.855619521,0
05/22/2025,111477.014787843,111477.014787843,111477.014787843,111477.014787843,0
05/23/2025,107291.888969901,107291.888969901,107291.888969901,107291.888969901,0
05/24/2025,107917.328289304,107917.328289304,107917.328289304,107917.328289304,0
05/25/2025,108914.876558445,108914.876558445,108914.876558445,108914.876558445,0
05/26/2025,109371.985172122,109371.985172122,109371.985172122,109371.985172122,0
05/27/2025,109066.345636762,109066.345636762,109066.345636762,109066.345636762,0
05/28/2025,107895.402399474,107895.402399474,107895.402399474,107895.402399474,0
05/29/2025,105732.957892168,105732.957892168,105732.957892168,105732.957892168,0
05/30/2025,103981.302957919,103981.302957919,103981.302957919,103981.302957919,0
05/31/2025,104708.964150205,104708.964150205,104708.964150205,104708.964150205,0
06/01/2025,105750.15972443,105750.15972443,105750.15972443,105750.15972443,0
06/02/2025,105899.696926651,105899.696926651,105899.696926651,105899.696926651,0
06/03/2025,105483.98555114,105483.98555114,105483.98555114,105483.98555114,0
06/04/2025,104782.844900351,104782.844900351,104782.844900351,104782.844900351,0
06/05/2025,101669.190496785,101669.190496785,101669.190496785,101669.190496785,0
06/06/2025,104421.051549094,104421.051549094,104421.051549094,104421.051549094,0
06/07/2025,105685.250402104,105685.250402104,105685.250402104,105685.250402104,0
06/08/2025,105727.739632379,105727.739632379,105727.739632379,105727.739632379,0
06/09/2025,110198.15871391,110198.15871391,110198.15871391,110198.15871391,0
06/10/2025,110074.119081824,110074.119081824,110074.119081824,110074.119081824,0
06/11/2025,108645.785558153,108645.785558153,108645.785558153,108645.785558153,0
06/12/2025,105998.985830801,105998.985830801,105998.985830801,105998.985830801,0
06/13/2025,106024.822087376,106024.822087376,106024.822087376,106024.822087376,0
06/14/2025,105467.108742256,105467.108742256,105467.108742256,105467.108742256,0
06/15/2025,105512.797437756,105512.797437756,105512.797437756,105512.797437756,0
06/16/2025,107243.933345997,107243.933345997,107243.933345997,107243.933345997,0
06/17/2025,104628.396527469,104628.396527469,104628.396527469,104628.396527469,0
06/18/2025,104813.367028638,104813.367028638,104813.367028638,104813.367028638,0
06/19/2025,104709.720767095,104709.720767095,104709.720767095,104709.720767095,0
06/20/2025,103274.958839567,103274.958839567,103274.958839567,103274.958839567,0
06/21/2025,101548.196381648,101548.196381648,101548.196381648,101548.196381648,0
06/22/2025,100899.234151958,100899.234151958,100899.234151958,100899.234151958,0
06/23/2025,105496.947495324,105496.947495324,105496.947495324,105496.947495324,0
06/24/2025,105964.065136762,105964.065136762,105964.065136762,105964.065136762,0
06/25/2025,107305.065199591,107305.065199591,107305.065199591,107305.065199591,0
06/26/2025,107012.822824079,107012.822824079,107012.822824079,107012.822824079,0
06/27/2025,107090.95905114,107090.95905114,107090.95905114,107090.95905114,0
06/28/2025,107357.617171245,107357.617171245,107357.617171245,107357.617171245,0
06/29/2025,108360.901696376,108360.901696376,108360.901696376,108360.901696376,0
06/30/2025,107153.101135885,107153.101135885,107153.101135885,107153.101135885,0
07/01/2025,105566.356597896,105566.356597896,105566.356597896,105566.356597896,0
07/02/2025,108927.13451841,108927.13451841,108927.13451841,108927.13451841,0
07/03/2025,109632.159126826,109632.159126826,109632.159126826,109632.159126826,0
07/04/2025,108081.395758621,108081.395758621,108081.395758621,108081.395758621,0
07/05/2025,108244.788813852,108244.788813852,108244.788813852,108244.788813852,0
07/06/2025,109180.005545587,109180.005545587,109180.005545587,109180.005545587,0
07/07/2025,108249.401004091,108249.401004091,108249.401004091,108249.401004091,0
07/08/2025,108956.631703098,108956.631703098,108956.631703098,108956.631703098,0
07/09/2025,111416.806720047,111416.806720047,111416.806720047,111416.806720047,0
07/10/2025,115873.903783752,115873.903783752,115873.903783752,115873.903783752,0
07/11/2025,117618.605087084,117618.605087084,117618.605087084,117618.605087084,0
07/12/2025,117382.372540912,117382.372540912,117382.372540912,117382.372540912,0
07/13/2025,118899.737107832,118899.737107832,118899.737107832,118899.737107832,0
07/14/2025,119871.096197838,119871.096197838,119871.096197838,119871.096197838,0
07/15/2025,117710.89100789,117710.89100789,117710.89100789,117710.89100789,0
07/16/2025,118730.187791642,118730.187791642,118730.187791642,118730.187791642,0
07/17/2025,119501.663770894,119501.663770894,119501.663770894,119501.663770894,0
07/18/2025,117958.511213033,117958.511213033,117958.511213033,117958.511213033,0
07/19/2025,117908.52473232,117908.52473232,117908.52473232,117908.52473232,0
07/20/2025,117305.680953828,117305.680953828,117305.680953828,117305.680953828,0
07/21/2025,117432.435634717,117432.435634717,117432.435634717,117432.435634717,0
07/22/2025,120068.00578872,120068.00578872,120068.00578872,120068.00578872,0
07/23/2025,118650.587165693,118650.587165693,118650.587165693,118650.587165693,0
07/24/2025,118377.081936879,118377.081936879,118377.081936879,118377.081936879,0
07/25/2025,117520.17335038,117520.17335038,117520.17335038,117520.17335038,0
07/26/2025,117983.204598773,117983.204598773,117983.204598773,117983.204598773,0
07/27/2025,119438.164235535,119438.164235535,119438.164235535,119438.164235535,0
07/28/2025,118022.637320281,118022.637320281,118022.637320281,118022.637320281,0
07/29/2025,117871.370895383,117871.370895383,117871.370895383,117871.370895383,0
07/30/2025,117732.643660725,117732.643660725,117732.643660725,117732.643660725,0
07/31/2025,115848.339985096,115848.339985096,115848.339985096,115848.339985096,0
08/01/2025,113282.144336061,113282.144336061,113282.144336061,113282.144336061,0
08/02/2025,112545.673659264,112545.673659264,112545.673659264,112545.673659264,0
08/03/2025,114263.693947691,114263.693947691,114263.693947691,114263.693947691,0
08/04/2025,115199.933659264,115199.933659264,115199.933659264,115199.933659264,0
08/05/2025,114111.36101841,114111.36101841,114111.36101841,114111.36101841,0
08/06/2025,115034.678748977,115034.678748977,115034.678748977,115034.678748977,0
08/07/2025,117444.913924313,117444.913924313,117444.913924313,117444.913924313,0
08/08/2025,116740.687720923,116740.687720923,116740.687720923,116740.687720923,0
08/09/2025,116511.655739375,116511.655739375,116511.655739375,116511.655739375,0
08/10/2025,119189.198160275,119189.198160275,119189.198160275,119189.198160275,0
08/11/2025,118742.043048644,118742.043048644,118742.043048644,118742.043048644,0
08/12/2025,120154.32493507,120154.32493507,120154.32493507,120154.32493507,0
08/13/2025,123442.67982225,123442.67982225,123442.67982225,123442.67982225,0
08/14/2025,118510.27128083,118510.27128083,118510.27128083,118510.27128083,0
08/15/2025,117311.209947715,117311.209947715,117311.209947715,117311.209947715,0
08/16/2025,117462.42684623,117462.42684623,117462.42684623,117462.42684623,0
08/17/2025,117601.952231888,117601.952231888,117601.952231888,117601.952231888,0
08/18/2025,116312.914397989,116312.914397989,116312.914397989,116312.914397989,0
08/19/2025,112886.10147543,112886.10147543,112886.10147543,112886.10147543,0
