datetime,open,high,low,close,volume
08/17/2017,4261.48,4485.39,4200.74,4285.08,795.150377
08/18/2017,4285.08,4371.52,3938.77,4108.37,1199.888264
08/19/2017,4108.37,4184.69,3850.0,4139.98,381.309763
08/20/2017,4120.98,4211.08,4032.62,4086.29,467.083022
08/21/2017,4069.13,4119.62,3911.79,4016.0,691.74306
08/22/2017,4016.0,4104.82,3400.0,4040.0,966.684858
08/23/2017,4040.0,4265.8,4013.89,4114.01,1001.136565
08/24/2017,4147.0,4371.68,4085.01,4316.01,787.418753
08/25/2017,4316.01,4453.91,4247.48,4280.68,573.61274
08/26/2017,4280.71,4367.0,4212.41,4337.44,228.108068
08/27/2017,4332.51,4400.0,4285.54,4310.01,350.692585
08/28/2017,4310.01,4399.82,4124.54,4386.69,603.841616
08/29/2017,4353.65,4625.85,4313.55,4587.48,603.545028
08/30/2017,4564.52,4647.51,4416.01,4555.14,808.468771
08/31/2017,4555.14,4745.42,4555.14,4724.89,556.956802
09/01/2017,4689.89,4885.55,4654.88,4834.91,560.666366
09/02/2017,4796.16,4939.19,4286.87,4472.14,929.148595
09/03/2017,4508.5,4714.76,4298.33,4509.08,691.216198
09/04/2017,4505.0,4527.49,3972.51,4100.11,1394.644614
09/05/2017,4106.97,4484.99,3603.0,4366.47,1228.938157
09/06/2017,4366.49,4662.87,4335.26,4619.77,807.363726
09/07/2017,4619.77,4788.59,4438.19,4691.61,500.429975
09/08/2017,4691.66,4735.39,4028.93,4282.8,1132.255046
09/09/2017,4282.8,4426.62,4150.06,4258.81,658.782952
09/10/2017,4258.81,4283.0,3801.0,4130.37,660.373275
09/11/2017,4153.62,4334.43,4098.91,4208.47,699.989065
09/12/2017,4208.6,4394.59,4040.8,4163.72,879.630319
09/13/2017,4159.72,4165.38,3760.0,3944.69,913.462545
09/14/2017,3944.0,3993.0,3165.13,3189.02,1665.021543
09/15/2017,3188.01,3856.0,2817.0,3700.0,1968.866492
09/16/2017,3674.01,3950.0,3470.66,3714.95,1297.563953
09/17/2017,3685.23,3748.21,3499.02,3699.99,682.17121
09/18/2017,3690.0,4123.2,3690.0,4035.01,1030.006455
09/19/2017,4060.0,4089.97,3830.91,3910.04,902.332129
09/20/2017,3910.04,4046.08,3820.0,3900.0,720.935076
09/21/2017,3889.99,3910.0,3567.0,3609.99,1001.654084
09/22/2017,3592.84,3750.0,3505.55,3595.87,838.966425
09/23/2017,3595.88,3817.19,3542.91,3780.0,752.792791
09/24/2017,3779.54,3789.99,3622.76,3660.02,661.63639
09/25/2017,3660.02,3979.87,3653.69,3920.75,727.994713
09/26/2017,3928.0,3976.99,3850.05,3882.35,526.727987
09/27/2017,3882.36,4249.94,3872.81,4193.0,628.170966
09/28/2017,4192.11,4300.0,4101.0,4174.5,849.785325
09/29/2017,4178.98,4263.86,3952.01,4174.69,1602.309565
09/30/2017,4175.0,4380.0,4138.1,4378.51,720.353183
10/01/2017,4378.49,4406.52,4240.04,4378.48,726.963685
10/02/2017,4400.0,4561.63,4360.0,4380.0,655.756974
10/03/2017,4380.0,4467.33,4180.8,4310.0,1082.323563
10/04/2017,4314.9,4373.0,4142.0,4208.59,868.465101
10/05/2017,4208.59,4355.0,4110.0,4292.43,779.138638
10/06/2017,4318.99,4417.0,4292.0,4369.0,506.529176
10/07/2017,4369.0,4479.5,4312.56,4423.0,297.5975
10/08/2017,4425.0,4658.0,4425.0,4640.0,518.462004
10/09/2017,4640.0,4889.98,4550.0,4786.95,646.463145
10/10/2017,4786.95,4960.0,4680.59,4783.06,1043.221773
10/11/2017,4783.06,4881.61,4710.0,4821.43,753.429396
10/12/2017,4821.43,5439.99,4810.16,5430.0,1276.701482
10/13/2017,5439.99,5846.17,5379.84,5649.98,1879.82762
10/14/2017,5650.0,5900.0,5580.01,5869.99,970.759046
10/15/2017,5855.03,5922.3,5400.01,5709.99,1343.523375
10/16/2017,5710.0,5788.91,5585.19,5760.02,1528.996462
10/17/2017,5760.0,5774.98,5508.63,5595.0,1429.869376
10/18/2017,5595.0,5596.0,5037.95,5512.06,2317.804373
10/19/2017,5513.0,5710.0,5490.26,5683.9,1881.722107
10/20/2017,5683.31,6110.0,5600.0,6010.01,1972.97722
10/21/2017,6013.72,6171.0,5850.03,6024.97,1664.307693
10/22/2017,6003.27,6060.0,5720.03,5950.02,1362.092216
10/23/2017,5975.0,6080.0,5621.03,5915.93,1812.557715
10/24/2017,5909.47,5925.0,5450.0,5477.03,2580.418767
10/25/2017,5506.92,5704.96,5286.98,5689.99,2282.813205
10/26/2017,5670.1,5939.99,5650.0,5861.77,1972.965882
10/27/2017,5861.77,5980.0,5649.24,5768.83,1403.706416
10/28/2017,5768.79,5850.02,5630.03,5719.64,1276.754412
10/29/2017,5709.98,6189.88,5648.01,6169.98,1804.778173
10/30/2017,6133.01,6248.68,6030.0,6120.5,1473.687043
10/31/2017,6120.52,6498.01,6100.0,6463.0,1511.774925
11/01/2017,6463.0,6774.67,6338.02,6753.98,1675.615188
11/02/2017,6753.98,7300.0,6685.1,7019.98,2503.610803
11/03/2017,7010.31,7346.34,6923.0,7115.04,1891.497592
11/04/2017,7115.02,7480.99,6901.0,7357.09,1399.191767
11/05/2017,7357.27,7590.25,7279.02,7345.01,1207.83233
11/06/2017,7345.1,7401.0,6906.0,6960.12,1763.019261
11/07/2017,6981.72,7198.49,6901.0,7064.04,1440.259494
11/08/2017,7070.0,7770.02,6651.0,7303.0,2822.298802
