lookback,range_mult,stop_mult,final_return,trade_count,win_rate,max_drawdown,risk_adjusted_return,final_equity
15,0.4,2.0,3159.481396862513,320,18.4375,70.79881118649868,44.004647774121274,3259481.396862513
15,0.4,2.5,2226.2417666041583,318,19.49685534591195,73.19066271703873,30.007034377021093,2326241.766604158
15,0.4,3.0,2863.747330133027,308,20.77922077922078,72.31520149905874,39.06075781800577,2963747.330133027
15,0.4,3.5,2346.6471235194886,314,21.019108280254777,67.92861259828,34.04460114692698,2446647.1235194886
15,0.5,2.0,24226.972741593156,194,22.68041237113402,55.18145369515967,431.22723155311377,24326972.741593156
15,0.5,2.5,45067.20432439581,184,25.543478260869566,56.37444683632097,785.4926157800611,45167204.32439581
15,0.5,3.0,50022.67508279448,176,27.27272727272727,50.68904971443745,967.7615541231834,50122675.08279448
15,0.5,3.5,13334.93563830209,178,26.40449438202247,56.72892405274425,230.9922773914611,13434935.63830209
15,0.6,2.0,1413.1080525892385,132,16.666666666666664,64.67982808766052,21.515099745742535,1513108.0525892384
15,0.6,2.5,1064.2703745010008,126,19.047619047619047,70.00167914364994,14.989369087282835,1164270.3745010009
15,0.6,3.0,508.08799395424523,126,19.841269841269842,65.88485418905205,7.596458123660093,608087.9939542452
15,0.6,3.5,539.5380369108724,124,20.967741935483872,70.32956330513292,7.564017104700918,639538.0369108724
15,0.7,2.0,47101.95001358848,92,19.565217391304348,54.939241660592195,842.019816775075,47201950.01358848
15,0.7,2.5,31495.799517629268,88,20.454545454545457,60.28724026902037,513.9046786799086,31595799.51762927
15,0.7,3.0,20900.6319085524,86,20.930232558139537,62.8159733777133,327.51411288277257,21000631.9085524
15,0.7,3.5,27574.445840057917,82,23.170731707317074,62.737582880102494,432.6245928078027,27674445.840057917
20,0.4,2.0,29555.224139718757,222,20.72072072072072,53.049276593895144,546.8199761818277,29655224.139718756
20,0.4,2.5,19959.470052358567,218,21.55963302752294,67.98471645000086,289.3317691147561,20059470.052358568
20,0.4,3.0,16136.019599061668,216,22.22222222222222,63.640910446602085,249.6255001295372,16236019.59906167
20,0.4,3.5,6318.655935972662,210,22.857142857142858,58.77632792442813,105.70498649500493,6418655.935972662
20,0.5,2.0,9503.624770190374,136,23.52941176470588,63.97725217898027,146.26079822539396,9603624.770190375
20,0.5,2.5,8133.498121107063,130,26.153846153846157,69.25299609466929,115.77439501863783,8233498.121107063
20,0.5,3.0,5735.359578855799,130,26.153846153846157,71.09322973938396,79.55475985177867,5835359.578855799
20,0.5,3.5,5696.880577390458,126,26.984126984126984,75.00228667030981,74.95669968593111,5796880.5773904575
20,0.6,2.0,3866.6193754737615,84,19.047619047619047,59.60560846429739,63.79969566268074,3966619.375473761
20,0.6,2.5,3457.778966374577,80,22.5,65.14399867966975,52.276533554016474,3557778.966374577
20,0.6,3.0,1528.7801717771235,80,21.25,67.8032832807046,22.219581666473452,1628780.1717771236
20,0.6,3.5,1014.7383120276942,80,20.0,72.15723903258929,13.870648010317334,1114738.3120276942
20,0.7,2.0,38075.55565509104,60,23.333333333333332,69.77870564767075,537.9521327308147,38175555.65509104
20,0.7,2.5,29939.751585392747,60,25.0,70.218192631375,420.39471206971996,30039751.585392747
20,0.7,3.0,17504.949915497007,60,25.0,70.65767961507927,244.28574870868908,17604949.91549701
20,0.7,3.5,15622.591804177679,60,25.0,71.09716659878356,216.68801342938303,15722591.80417768
25,0.4,2.0,75862.73697071456,154,24.675324675324674,48.23785004484837,1540.740241534,75962736.97071455
25,0.4,2.5,69932.00878463217,142,27.464788732394368,48.23785004484836,1420.289649546731,70032008.78463218
25,0.4,3.0,47079.37735872994,142,27.464788732394368,48.23785004484835,956.1623286932235,47179377.358729936
25,0.4,3.5,9590.88983013841,142,26.76056338028169,67.78301270320215,139.43689660008036,9690889.83013841
25,0.5,2.0,3846.0267481226692,102,19.607843137254903,55.72419562026282,67.80222629986145,3946026.7481226693
25,0.5,2.5,3409.938171145537,96,23.958333333333336,60.49974497311443,55.44637904817726,3509938.171145537
25,0.5,3.0,2505.2761521125153,96,25.0,66.2808158581329,37.236114338968406,2605276.152112515
25,0.5,3.5,1800.1480693068565,96,25.0,67.8179354383403,26.158123719357413,1900148.0693068565
25,0.6,2.0,2515.3876737686637,66,19.696969696969695,54.93924166059221,44.96642426850579,2615387.673768664
25,0.6,2.5,1851.8233934090067,66,21.21212121212121,60.28724026902038,30.215480176304673,1951823.3934090068
25,0.6,3.0,1118.783683725619,66,21.21212121212121,62.8159733777133,17.531405140587204,1218783.683725619
25,0.6,3.5,762.5478914488162,66,21.21212121212121,62.737582880102494,11.96386585420495,862547.8914488163
25,0.7,2.0,493.561482590175,50,14.000000000000002,54.93924166059221,8.823170782057216,593561.482590175
25,0.7,2.5,4371.454435846404,48,18.75,70.60608073742097,61.04864825483884,4471454.435846404
25,0.7,3.0,3162.8985511649935,46,19.565217391304348,70.60608073742097,44.17080949819502,3262898.5511649936
25,0.7,3.5,3100.295322469296,46,19.565217391304348,70.60608073742097,43.296536977607516,3200295.322469296
30,0.4,2.0,3370.2000741830157,126,20.634920634920633,61.86795831494417,53.60759541926932,3470200.0741830156
30,0.4,2.5,4819.358392347832,118,25.423728813559322,65.92901138884582,72.00701597619909,4919358.392347831
30,0.4,3.0,3069.2339305385685,118,25.423728813559322,68.0558227948771,44.445693445075555,3169233.930538568
30,0.4,3.5,1364.5093045076314,120,25.0,77.82814513099116,17.309925309547552,1464509.3045076313
30,0.5,2.0,1186.736452820147,80,17.5,56.62350926311185,20.594657770693008,1286736.452820147
