date,action,price,size,commission,equity,comment,pnl,net_pnl
2015-03-18,ENTRY_SHORT,256.29901123046875,386.2675845868847,99.0,99901.0,Short,,
2015-06-16,CLOSE_Short,250.8950042724609,386.2675845868847,96.91260728523959,101891.48010747517,Reverse to Long,2087.392714760407,1990.4801074751676
2015-06-16,ENTRY_LONG,250.8950042724609,402.05091208933464,100.87256530640042,101790.60754216877,Long,,
2015-06-24,CLOSE_LONG,241.0820752741757,402.05091208933464,96.92726825237197,97748.38321988795,Stop Loss: SL Long,-3945.2970540284464,-4042.2243222808183
2015-07-10,ENTRY_LONG,284.8940124511719,339.6733351996111,96.77089938768907,97651.61232050027,Long,,
2015-07-13,CLOSE_Long,292.0539855957031,339.6733351996111,99.20295134563165,99984.4613270972,Reverse to Short,2432.051957942577,2332.849006596945
2015-07-13,ENTRY_SHORT,292.0539855957031,338.92575207260774,98.98461671382623,99885.47671038337,Short,,
2015-09-15,CLOSE_Short,230.3040008544922,338.92575207260774,78.05595669493927,120736.0807725754,Reverse to Long,20928.66001888697,20850.604062192033
2015-09-15,ENTRY_LONG,230.3040008544922,519.0040968518337,119.52871996484964,120616.55205261055,Long,,
2015-12-26,CLOSE_Long,417.2739868164063,519.0040968518337,216.56690866741292,217438.1738465064,Reverse to Short,97038.18870256326,96821.62179389584
2015-12-26,ENTRY_SHORT,417.2739868164063,515.8811689901817,215.26379210804134,217222.91005439835,Short,,
2016-01-07,CLOSE_SHORT,446.0210965766213,515.8811689901817,230.09388469623013,202162.72358151336,Stop Loss: SL Short,-14830.092588188767,-15060.186472884998
2016-01-15,ENTRY_SHORT,364.33099365234375,549.3386503830615,200.14109634569826,201962.58248516766,Short,,
2016-01-20,CLOSE_SHORT,401.23530337720126,549.3386503830615,220.41406004326998,181469.2047275527,Stop Loss: SL Short,-20272.963697571715,-20493.377757614984
2016-04-27,ENTRY_SHORT,444.68701171875,404.0021587001124,179.65451268027718,181289.5502148724,Short,,
2016-05-06,CLOSE_SHORT,460.41858110667766,404.0021587001124,186.01010067274055,174747.95212173628,Stop Loss: SL Short,-6355.587992463382,-6541.598093136123
2016-05-19,ENTRY_SHORT,438.7149963378906,394.33453163127564,173.0004726005189,174574.95164913576,Short,,
2016-05-25,CLOSE_SHORT,450.0434183668909,394.33453163127564,177.46766059544615,169930.29599361308,Stop Loss: SL Short,-4467.187994927239,-4644.655655522685
2016-05-27,ENTRY_LONG,473.4639892578125,355.3195107771357,168.23099303367695,169762.0650005794,Long,,
2016-07-31,CLOSE_Long,624.6810302734375,355.3195107771357,221.9613580685149,223270.4686773488,Reverse to Short,53730.36503483794,53508.40367676942
2016-07-31,ENTRY_SHORT,624.6810302734375,353.8410056950535,221.0377639905753,223049.43091335823,Short,,
2016-09-03,CLOSE_Short,598.2119750976562,353.8410056950535,211.67192688737902,232203.59608966715,Reverse to Long,9365.8371031963,9154.165176308921
2016-09-03,ENTRY_LONG,598.2119750976562,384.2811071965636,229.88156012877047,231973.71452953838,Long,,
2016-11-03,CLOSE_Long,688.7000122070312,384.2811071965636,264.65440321720484,266481.9032147555,Reverse to Short,34772.84308843436,34508.18868521716
2016-11-03,ENTRY_SHORT,688.7000122070312,383.06531073982535,263.81708418260797,266218.0861305729,Short,,
2016-11-09,CLOSE_SHORT,722.569412114167,383.06531073982535,276.7912763826063,252967.10265419193,Stop Loss: SL Short,-12974.192199998366,-13250.983476380972
2016-12-21,ENTRY_LONG,834.281005859375,300.18354711273787,250.43743162765006,252716.66522256428,Long,,
2017-01-05,CLOSE_Long,1013.3800048828124,300.18354711273787,304.20000443884624,306175.03802932164,Reverse to Short,53762.57281119621,53458.37280675736
2017-01-05,ENTRY_SHORT,1013.3800048828124,299.11117861860765,303.1132876490284,305871.92474167264,Short,,
2017-02-08,CLOSE_SHORT,1072.9213728160619,299.11117861860765,320.9227763881068,287741.5132262061,Stop Loss: SL Short,-17809.488739078424,-18130.41151546653
2017-02-09,ENTRY_SHORT,994.3829956054688,286.47321942637757,284.8640980939441,287456.6491281122,Short,,
2017-02-18,CLOSE_SHORT,1054.8290678961444,286.47321942637757,302.18027902473347,269838.28791829804,Stop Loss: SL Short,-17316.180930789393,-17618.361209814128
2017-03-16,ENTRY_SHORT,1187.81005859375,224.90119788628695,267.13990503911504,269571.14801325893,Short,,
2017-04-25,CLOSE_SHORT,1250.7715318335595,224.90119788628695,281.3000157914336,255129.73724514895,Stop Loss: SL Short,-14160.110752318555,-14441.410768109989
2017-07-20,ENTRY_LONG,2817.60009765625,89.64311155539727,252.57843987269746,254877.15880527624,Long,,
2017-09-08,CLOSE_Long,4228.75,89.64311155539727,379.07830798988624,380997.9486144751,Reverse to Short,126499.86811718874,126120.78980919886
2017-09-08,ENTRY_SHORT,4228.75,89.19609083732317,377.18796912833034,380620.7606453468,Short,,
2017-10-09,CLOSE_SHORT,4667.95479595663,89.19609083732317,416.36332000466587,341029.04644900654,Stop Loss: SL Short,-39175.35087633554,-39591.71419634021
2017-10-12,ENTRY_LONG,5446.91015625,61.98353677582131,337.6187559845165,340691.427693022,Long,,
2018-01-16,CLOSE_Long,11490.5,61.98353677582131,712.2218293225748,714582.2792017576,Reverse to Short,374603.07333805825,373890.8515087357
2018-01-16,ENTRY_SHORT,11490.5,61.56707335709847,707.43645640974,713874.8427453479,Short,,
2018-07-17,CLOSE_Short,7321.0400390625,61.56707335709847,450.73500913521605,970125.5550107367,Reverse to Long,256701.447274524,256250.71226538878
2018-07-17,ENTRY_LONG,7321.0400390625,131.18686611958717,960.4242994606294,969165.1307112761,Long,,
2018-08-08,CLOSE_LONG,6688.252403600114,131.18686611958717,877.4108726450952,885274.2930230969,Stop Loss: SL Long,-83013.42681553414,-83890.83768817924
2018-09-05,ENTRY_SHORT,6792.830078125,129.0215624434965,876.4215500928658,884397.871473004,Short,,
2018-10-15,CLOSE_Short,6596.5400390625,129.0215624434965,851.0959025609271,908872.4231023818,Reverse to Long,25325.64753193871,24474.551629377784
2018-10-15,ENTRY_LONG,6596.5400390625,136.40237056747029,899.7836988713581,907972.6394035104,Long,,
2018-10-29,CLOSE_LONG,6371.933791064406,136.40237056747029,869.146874200153,876466.6678581052,Stop Loss: SL Long,-30636.824671205115,-31505.971545405268
