date,open,high,low,close,upper_boundary,lower_boundary,go_long,go_short,position_size,position_avg_price,equity,unrealized_pnl,total_equity
2017-09-06,4366.49,4662.87,4335.26,4619.77,5136.084999999999,3596.895,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-07,4619.77,4788.59,4438.19,4691.61,5389.365,3850.1750000000006,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-08,4691.66,4735.39,4028.93,4282.8,5461.254999999999,3922.065,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-09,4282.8,4426.62,4150.06,4258.81,5052.395,3513.2050000000004,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-10,4258.81,4283.0,3801.0,4130.37,5028.405000000001,3489.2150000000006,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-11,4153.62,4334.43,4098.91,4208.47,4923.215,3384.025,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-12,4208.6,4394.59,4040.8,4163.72,4876.695,3540.5050000000006,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-13,4159.72,4165.38,3760.0,3944.69,4827.8150000000005,3491.6250000000005,False,False,0.0,0.0,100000.0,0.0,100000.0
2017-09-14,3944.0,3993.0,3165.13,3189.02,4612.094999999999,3275.905,False,True,-31.044019792914437,3189.02,99901.0,0.0,99901.0
2017-09-15,3188.01,3856.0,2817.0,3700.0,4075.04,2300.9800000000005,False,False,-31.044019792914437,3189.02,99901.0,-15862.873233783419,84038.12676621658
2017-09-16,3674.01,3950.0,3470.66,3714.95,4735.105,2612.9150000000004,False,False,-31.044019792914437,3189.02,99901.0,-16326.981329687485,83574.01867031251
2017-09-17,3685.23,3748.21,3499.02,3699.99,4746.325,2624.135,False,False,-31.044019792914437,3189.02,99901.0,-15862.562793585483,84038.43720641451
2017-09-18,3690.0,4123.2,3690.0,4035.01,4751.094999999999,2628.905,False,False,-31.044019792914437,3189.02,99901.0,-26262.930304607693,73638.0696953923
2017-09-19,4060.0,4089.97,3830.91,3910.04,5121.094999999999,2998.905,False,False,-31.044019792914437,3189.02,99901.0,-22383.359151087167,77517.64084891284
2017-09-20,3910.04,4046.08,3820.0,3900.0,4971.135,2848.945,False,False,-31.044019792914437,3189.02,99901.0,-22071.677192366307,77829.3228076337
2017-09-21,3889.99,3910.0,3567.0,3609.99,4951.084999999999,2828.895,False,False,-31.044019792914437,3189.02,99901.0,-13068.601012223184,86832.39898777682
2017-09-22,3592.84,3750.0,3505.55,3595.87,4653.9349999999995,2531.7450000000003,False,False,-31.044019792914437,3189.02,99901.0,-12630.259452747236,87270.74054725276
2017-09-23,3595.88,3817.19,3542.91,3780.0,4581.675,2610.085,False,False,-31.044019792914437,3189.02,99901.0,-18346.394817216573,81554.60518278343
2017-09-24,3779.54,3789.99,3622.76,3660.02,4765.335,2793.745,False,False,-31.044019792914437,3189.02,99901.0,-14621.7333224627,85279.26667753729
