date,open,high,low,close,upper_boundary,lower_boundary,go_long,go_short,position_size,position_avg_price,equity,unrealized_pnl,total_equity
2015-01-26,254.07899475097656,309.3840026855469,254.07899475097656,273.4729919433594,313.64899597167965,194.50899353027347,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-01-27,273.1669921875,275.4800109863281,250.6529998779297,263.4750061035156,330.8985900878906,215.43539428710938,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-01-28,263.3510131835937,266.5350036621094,227.04600524902344,233.9149932861328,320.8070129394531,205.8950134277343,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-01-29,233.34800720214844,238.70599365234372,220.7120056152344,233.51300048828125,288.4976104736328,178.19840393066406,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-01-30,232.77200317382807,242.8509979248047,225.8390045166016,226.4250030517578,287.9216064453125,177.6223999023437,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-01-31,226.4409942626953,233.5039978027344,216.3090057373047,217.4640045166016,281.59059753417966,171.29139099121093,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-02-01,216.86700439453125,231.57400512695312,212.01499938964844,226.9720001220703,272.0166076660156,161.71740112304687,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-02-02,226.49099731445312,242.1750030517578,222.65899658203125,238.22900390625,281.6406005859375,171.34139404296874,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-02-03,237.45399475097656,245.95700073242188,224.4830017089844,227.26800537109372,292.6035980224609,182.30439147949218,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-02-04,227.5110015869141,230.05799865722656,221.11300659179688,226.85299682617188,282.6606048583985,172.3613983154297,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-02-05,227.6649932861328,239.40499877929688,214.7250061035156,217.11099243164065,282.81459655761716,172.51539001464843,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-02-06,216.92300415039065,230.50999450683597,216.23199462890625,222.26600646972656,272.07260742187503,161.77340087890627,False,False,0.0,0.0,100000.0,0.0,100000.0
2015-02-07,222.63299560546875,230.2989959716797,222.60699462890625,227.7539978027344,277.7825988769531,167.48339233398437,False,False,0.0,0.0,100000.0,0.0,100000.0
