trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
1,24,2014-01-24,SHORT,655.460000,151.038965,0.000000,99.000000,-99.000000,99901.000000,Short Entry
2,25,2014-01-25,CLOSE_SHORT,762.730000,151.038965,-16201.949776,115.201950,-16317.151726,83583.848274,Reverse to Long
3,25,2014-01-25,LONG,762.730000,108.489255,0.000000,82.748010,-82.748010,83501.100265,Long Entry
4,26,2014-01-26,CLOSE_LONG,693.140000,108.489255,-7549.767285,75.198243,-7624.965528,75876.134737,Reverse to Short
5,26,2014-01-26,SHORT,693.140000,108.372585,0.000000,75.117373,-75.117373,75801.017364,Short Entry
6,67,2014-03-08,CLOSE_SHORT,687.530000,108.372585,607.970200,74.509403,533.460797,76334.478161,Reverse to Long
7,67,2014-03-08,LONG,687.530000,109.916852,0.000000,75.571133,-75.571133,76258.907027,Long Entry
8,72,2014-03-13,CLOSE_LONG,630.650000,109.916852,-6252.070552,69.319063,-6321.389615,69937.517413,Reverse to Short
9,72,2014-03-13,SHORT,630.650000,109.788539,0.000000,69.238142,-69.238142,69868.279270,Short Entry
10,77,2014-03-18,CLOSE_SHORT,711.620000,109.788539,-8889.578018,78.127720,-8967.705738,60900.573532,Reverse to Long
11,77,2014-03-18,LONG,711.620000,84.724386,0.000000,60.291568,-60.291568,60840.281964,Long Entry
12,95,2014-04-05,CLOSE_LONG,595.213890,84.724386,-9862.436252,50.429132,-9912.865384,50927.416580,SL Long
13,100,2014-04-10,SHORT,607.720000,82.962783,0.000000,50.418142,-50.418142,50876.998438,Short Entry
14,108,2014-04-18,CLOSE_SHORT,675.800000,82.962783,-5648.106259,56.066249,-5704.172507,45172.825930,Reverse to Long
15,108,2014-04-18,LONG,675.800000,66.175048,0.000000,44.721098,-44.721098,45128.104833,Long Entry
16,109,2014-04-19,CLOSE_LONG,641.210000,66.175048,-2288.994922,42.432103,-2331.427025,42796.677808,Reverse to Short
17,109,2014-04-19,SHORT,641.210000,66.076186,0.000000,42.368711,-42.368711,42754.309097,Short Entry
18,112,2014-04-22,CLOSE_SHORT,676.830000,66.076186,-2353.633734,44.722345,-2398.356079,40355.953018,Reverse to Long
19,112,2014-04-22,LONG,676.830000,59.028698,0.000000,39.952393,-39.952393,40316.000624,Long Entry
20,113,2014-04-23,CLOSE_LONG,614.770000,59.028698,-3663.320981,36.289073,-3699.610054,36616.390570,Reverse to Short
21,113,2014-04-23,SHORT,614.770000,58.965510,0.000000,36.250227,-36.250227,36580.140344,Short Entry
22,115,2014-04-25,CLOSE_SHORT,668.110000,58.965510,-3145.220310,39.395447,-3184.615757,33395.524586,Reverse to Long
23,115,2014-04-25,LONG,668.110000,49.485219,0.000000,33.061569,-33.061569,33362.463017,Long Entry
24,116,2014-04-26,CLOSE_LONG,570.920000,49.485219,-4809.468387,28.252101,-4837.720488,28524.742529,Reverse to Short
25,116,2014-04-26,SHORT,570.920000,49.463139,0.000000,28.239495,-28.239495,28496.503033,Short Entry
26,167,2014-06-16,CLOSE_SHORT,612.330000,49.463139,-2048.268570,30.287764,-2078.556334,26417.946699,Reverse to Long
27,167,2014-06-16,LONG,612.330000,42.711883,0.000000,26.153767,-26.153767,26391.792932,Long Entry
28,173,2014-06-22,CLOSE_LONG,542.810000,42.711883,-2969.330097,23.184437,-2992.514534,23399.278398,Reverse to Short
29,173,2014-06-22,SHORT,542.810000,42.676601,0.000000,23.165286,-23.165286,23376.113113,Short Entry
30,174,2014-06-23,CLOSE_SHORT,607.710000,42.676601,-2769.711384,25.934997,-2795.646381,20580.466732,Reverse to Long
31,174,2014-06-23,LONG,607.710000,33.526949,0.000000,20.374662,-20.374662,20560.092070,Long Entry
32,176,2014-06-25,CLOSE_LONG,542.770000,33.526949,-2177.240056,18.197422,-2195.437478,18364.654592,Reverse to Short
33,176,2014-06-25,SHORT,542.770000,33.496708,0.000000,18.181008,-18.181008,18346.473584,Short Entry
34,177,2014-06-26,CLOSE_SHORT,603.200000,33.496708,-2024.206047,20.205214,-2044.411261,16302.062322,Reverse to Long
35,177,2014-06-26,LONG,603.200000,26.755706,0.000000,16.139042,-16.139042,16285.923281,Long Entry
36,195,2014-07-14,CLOSE_LONG,517.130000,26.755706,-2302.863593,13.836178,-2316.699771,13969.223510,Reverse to Short
37,195,2014-07-14,SHORT,517.130000,26.742852,0.000000,13.829531,-13.829531,13955.393979,Short Entry
38,210,2014-07-29,CLOSE_SHORT,565.000000,26.742852,-1280.180346,15.109712,-1295.290057,12660.103921,Reverse to Long
39,210,2014-07-29,LONG,565.000000,22.183191,0.000000,12.533503,-12.533503,12647.570419,Long Entry
40,226,2014-08-14,CLOSE_LONG,468.758190,22.183191,-2134.950442,10.398552,-2145.348994,10502.221424,SL Long
41,251,2014-09-08,SHORT,444.210000,23.406045,0.000000,10.397199,-10.397199,10491.824225,Short Entry
42,400,2015-02-04,CLOSE_SHORT,217.820000,23.406045,5298.894507,5.098305,5293.796203,15785.620428,Reverse to Long
43,400,2015-02-04,LONG,217.820000,71.746232,0.000000,15.627764,-15.627764,15769.992663,Long Entry
44,420,2015-02-24,CLOSE_LONG,218.250000,71.746232,30.850880,15.658615,15.192265,15785.184928,Reverse to Short
45,420,2015-02-24,SHORT,218.250000,71.602901,0.000000,15.627333,-15.627333,15769.557595,Short Entry
46,439,2015-03-15,CLOSE_SHORT,248.030000,71.602901,-2132.334383,17.759667,-2150.094050,13619.463545,Reverse to Long
47,439,2015-03-15,LONG,248.030000,54.361444,0.000000,13.483269,-13.483269,13605.980276,Long Entry
48,441,2015-03-17,CLOSE_LONG,222.040000,54.361444,-1412.853925,12.070415,-1424.924340,12181.055936,Reverse to Short
49,441,2015-03-17,SHORT,222.040000,54.311139,0.000000,12.059245,-12.059245,12168.996691,Short Entry
50,449,2015-03-25,CLOSE_SHORT,260.220000,54.311139,-2073.599300,14.132845,-2087.732144,10081.264546,Reverse to Long
51,449,2015-03-25,LONG,260.220000,38.353900,0.000000,9.980452,-9.980452,10071.284094,Long Entry
52,453,2015-03-29,CLOSE_LONG,235.220000,38.353900,-958.847504,9.021604,-967.869109,9103.414986,Reverse to Short
53,453,2015-03-29,SHORT,235.220000,38.314688,0.000000,9.012381,-9.012381,9094.402605,Short Entry
54,462,2015-04-07,CLOSE_SHORT,263.650000,38.314688,-1089.286571,10.101667,-1099.388238,7995.014367,Reverse to Long
55,462,2015-04-07,LONG,263.650000,30.021105,0.000000,7.915064,-7.915064,7987.099303,Long Entry
56,475,2015-04-20,CLOSE_LONG,259.350000,30.021105,-129.090750,7.785973,-136.876723,7850.222580,Reverse to Short
57,475,2015-04-20,SHORT,259.350000,29.966147,0.000000,7.771720,-7.771720,7842.450859,Short Entry
58,478,2015-04-23,CLOSE_SHORT,268.090000,29.966147,-261.904129,8.033624,-269.937754,7572.513106,Reverse to Long
59,478,2015-04-23,LONG,268.090000,27.963699,0.000000,7.496788,-7.496788,7565.016318,Long Entry
60,489,2015-05-04,CLOSE_LONG,258.090000,27.963699,-279.636987,7.217151,-286.854138,7278.162180,Reverse to Short
61,489,2015-05-04,SHORT,258.090000,27.918093,0.000000,7.205381,-7.205381,7270.956799,Short Entry
62,490,2015-05-05,CLOSE_SHORT,283.060000,27.918093,-697.114776,7.902495,-705.017271,6565.939528,Reverse to Long
63,490,2015-05-05,LONG,283.060000,22.964319,0.000000,6.500280,-6.500280,6559.439248,Long Entry
64,492,2015-05-07,CLOSE_LONG,260.100000,22.964319,-527.260764,5.973019,-533.233783,6026.205465,Reverse to Short
65,492,2015-05-07,SHORT,260.100000,22.937114,0.000000,5.965943,-5.965943,6020.239521,Short Entry
66,500,2015-05-15,CLOSE_SHORT,300.090000,22.937114,-917.255198,6.883199,-924.138396,5096.101125,Reverse to Long
67,500,2015-05-15,LONG,300.090000,16.812090,0.000000,5.045140,-5.045140,5091.055985,Long Entry
68,501,2015-05-16,CLOSE_LONG,270.930000,16.812090,-490.240547,4.554900,-494.795446,4596.260538,Reverse to Short
69,501,2015-05-16,SHORT,270.930000,16.795105,0.000000,4.550298,-4.550298,4591.710240,Short Entry
70,503,2015-05-18,CLOSE_SHORT,296.220000,16.795105,-424.748218,4.975046,-429.723264,4161.986976,Reverse to Long
71,503,2015-05-18,LONG,296.220000,13.909821,0.000000,4.120367,-4.120367,4157.866609,Long Entry
72,504,2015-05-19,CLOSE_LONG,273.800000,13.909821,-311.858181,3.808509,-315.666690,3842.199918,Reverse to Short
73,504,2015-05-19,SHORT,273.800000,13.892542,0.000000,3.803778,-3.803778,3838.396141,Short Entry
74,511,2015-05-26,CLOSE_SHORT,302.430000,13.892542,-397.743469,4.201521,-401.944990,3436.451150,Reverse to Long
75,511,2015-05-26,LONG,302.430000,11.249171,0.000000,3.402087,-3.402087,3433.049063,Long Entry
76,516,2015-05-31,CLOSE_LONG,269.600000,11.249171,-369.310268,3.032776,-372.343044,3060.706019,Reverse to Short
77,516,2015-05-31,SHORT,269.600000,11.239239,0.000000,3.030099,-3.030099,3057.675920,Short Entry
78,522,2015-06-06,CLOSE_SHORT,311.320000,11.239239,-468.901070,3.499000,-472.400070,2585.275850,Reverse to Long
79,522,2015-06-06,LONG,311.320000,8.221197,0.000000,2.559423,-2.559423,2582.716427,Long Entry
80,546,2015-06-30,CLOSE_LONG,284.360000,8.221197,-221.643475,2.337780,-223.981254,2358.735172,Reverse to Short
81,546,2015-06-30,SHORT,284.360000,8.211942,0.000000,2.335148,-2.335148,2356.400025,Short Entry
82,547,2015-07-01,CLOSE_SHORT,320.530000,8.211942,-297.025941,2.632174,-299.658115,2056.741909,Reverse to Long
83,547,2015-07-01,LONG,320.530000,6.352524,0.000000,2.036174,-2.036174,2054.705735,Long Entry
84,550,2015-07-04,CLOSE_LONG,291.700000,6.352524,-183.143264,1.853031,-184.996296,1869.709439,Reverse to Short
85,550,2015-07-04,SHORT,291.700000,6.345603,0.000000,1.851012,-1.851012,1867.858427,Short Entry
86,555,2015-07-09,CLOSE_SHORT,320.330000,6.345603,-181.674609,2.032687,-183.707296,1684.151131,Reverse to Long
87,555,2015-07-09,LONG,320.330000,5.204975,0.000000,1.667310,-1.667310,1682.483821,Long Entry
88,562,2015-07-16,CLOSE_LONG,298.450000,5.204975,-113.884851,1.553425,-115.438276,1567.045545,Reverse to Short
89,562,2015-07-16,SHORT,298.450000,5.198107,0.000000,1.551375,-1.551375,1565.494170,Short Entry
90,563,2015-07-17,CLOSE_SHORT,329.550000,5.198107,-161.661133,1.713036,-163.374170,1402.120000,Reverse to Long
91,563,2015-07-17,LONG,329.550000,4.212104,0.000000,1.388099,-1.388099,1400.731902,Long Entry
92,570,2015-07-24,CLOSE_LONG,305.270000,4.212104,-102.269880,1.285829,-103.555709,1297.176193,Reverse to Short
93,570,2015-07-24,SHORT,305.270000,4.206782,0.000000,1.284204,-1.284204,1295.891988,Short Entry
94,577,2015-07-31,CLOSE_SHORT,327.870000,4.206782,-95.073280,1.379278,-96.452558,1199.439431,Reverse to Long
95,577,2015-07-31,LONG,327.870000,3.621695,0.000000,1.187445,-1.187445,1198.251986,Long Entry
