datetime,open,high,low,close,volume
02/29/2020,8710.0,8805.06,8525.0,8527.74,2338.06785643
03/01/2020,8525.0,8756.11,8410.0,8528.95,4156.57173933
03/02/2020,8516.0,8980.34,8486.72,8917.34,6186.86088929
03/03/2020,8917.34,8921.8,8660.04,8755.45,4629.97228611
03/04/2020,8755.45,8850.0,8663.76,8753.28,3353.2325223
03/05/2020,8757.79,9169.0,8757.79,9066.65,6448.68567336
03/06/2020,9059.0,9187.85,8990.01,9153.79,4136.42339429
03/07/2020,9154.1,9219.13,8859.49,8893.93,2805.5915714
03/08/2020,8901.12,8901.12,7995.48,8033.7,9068.89040196
03/09/2020,8035.79,8191.13,7636.0,7936.25,12177.39425093
03/10/2020,7937.2,8158.42,7733.99,7885.92,8274.9537573
03/11/2020,7893.63,7988.78,7591.99,7934.57,7289.61145281
03/12/2020,7956.29,7969.9,4776.59,4841.67,58513.38918903
03/13/2020,4841.67,5990.35,3850.0,5622.74,54419.64133553
03/14/2020,5623.16,5663.01,5051.0,5169.37,15370.8681496
03/15/2020,5167.38,5965.77,5092.34,5343.64,16589.30386378
03/16/2020,5353.04,5353.04,4435.89,5033.42,34905.46359769
03/17/2020,5051.41,5569.9,4936.0,5324.99,17517.84242049
03/18/2020,5340.95,5452.43,5006.87,5406.92,22559.23112903
03/19/2020,5413.0,6433.98,5266.38,6181.18,24783.73487365
03/20/2020,6192.94,7139.0,5670.0,6210.14,30082.50248252
03/21/2020,6207.66,6461.91,5866.44,6187.78,11796.72656887
03/22/2020,6199.17,6419.0,5705.0,5813.15,10813.38456907
03/23/2020,5816.57,6629.79,5686.34,6493.51,19053.80456405
03/24/2020,6494.7,6893.0,6400.01,6768.64,19719.09402414
03/25/2020,6768.64,6989.04,6457.17,6692.22,16675.73512097
03/26/2020,6695.47,6798.89,6528.07,6760.72,7393.70723365
03/27/2020,6765.15,6872.67,6210.0,6376.03,10816.28556504
03/28/2020,6376.03,6376.03,6030.51,6253.08,11613.49398164
03/29/2020,6275.11,6278.24,5869.0,5870.9,9298.9390511
03/30/2020,5878.47,6630.0,5856.0,6407.77,14974.444163
03/31/2020,6408.95,6527.24,6337.42,6421.14,6342.29832651
04/01/2020,6428.74,6710.21,6137.71,6652.07,11319.14793815
04/02/2020,6669.95,7236.39,6575.13,6801.99,17212.82067331
04/03/2020,6789.63,7047.96,6610.0,6742.57,10570.10640235
04/04/2020,6737.36,7014.0,6655.54,6879.61,6018.51563233
04/05/2020,6887.22,6914.01,6678.51,6775.2,3981.97692417
04/06/2020,6780.57,7376.59,6773.75,7352.43,13683.03789416
04/07/2020,7335.85,7469.0,7077.0,7202.73,11669.01426524
04/08/2020,7204.78,7428.95,7152.0,7367.36,8720.21050049
04/09/2020,7370.85,7376.59,7107.38,7293.93,8324.9217727
04/10/2020,7299.12,7306.1,6750.15,6877.03,10727.86685616
04/11/2020,6866.03,6955.59,6771.24,6883.18,3326.67476213
04/12/2020,6882.75,7201.76,6790.74,6908.24,7264.51928043
04/13/2020,6908.21,6914.01,6542.91,6864.22,10837.57453223
04/14/2020,6864.66,6991.0,6766.96,6879.75,7275.68657382
04/15/2020,6868.88,6940.0,6598.55,6619.0,8109.73234254
04/16/2020,6619.0,7224.18,6472.67,7111.67,15726.69637377
04/17/2020,7121.35,7158.22,6995.39,7024.19,8539.61835086
04/18/2020,7020.13,7306.15,7020.13,7262.26,5102.50261952
04/19/2020,7265.94,7276.21,7057.46,7126.4,4662.19209244
04/20/2020,7124.27,7220.0,6757.75,6841.0,11365.00931766
04/21/2020,6833.0,6950.98,6774.48,6854.98,5570.95619043
04/22/2020,6850.6,7171.26,6819.59,7137.79,6273.40631495
04/23/2020,7138.29,7756.69,7031.07,7484.58,14779.54814354
04/24/2020,7494.2,7612.91,7391.57,7505.53,7357.10670681
04/25/2020,7518.81,7723.77,7432.8,7547.56,3800.82773036
04/26/2020,7565.0,7718.0,7485.0,7701.73,5247.54081807
04/27/2020,7708.87,7813.68,7637.03,7786.41,6878.02253788
04/28/2020,7794.22,7798.42,7650.0,7767.79,7248.9559695
04/29/2020,7762.07,8970.0,7717.14,8790.32,26396.09715679
04/30/2020,8789.79,9485.26,8407.0,8627.32,24057.73933525
05/01/2020,8629.72,9075.0,8616.17,8832.44,11379.68574201
05/02/2020,8836.0,9022.0,8760.0,8983.79,5524.26706572
05/03/2020,8982.56,9207.82,8723.78,8915.98,9218.274909
05/04/2020,8924.14,8974.34,8528.42,8882.87,10018.97499887
05/05/2020,8889.24,9120.0,8760.1,9034.85,9592.13446226
05/06/2020,9040.0,9417.95,8921.03,9154.32,15110.94181329
05/07/2020,9163.63,10074.0,9030.03,10000.0,25012.90031203
05/08/2020,10008.19,10048.38,9725.0,9801.35,19203.48379461
05/09/2020,9809.04,9914.0,9515.4,9546.56,11278.63371513
05/10/2020,9527.31,9565.2,8109.0,8731.17,31639.42874341
05/11/2020,8740.88,9182.97,8181.0,8571.98,34465.18657226
05/12/2020,8574.19,8984.87,8534.97,8825.46,14010.2612055
05/13/2020,8816.99,9418.46,8804.47,9315.5,12762.85161682
05/14/2020,9323.73,9945.34,9254.85,9793.5,19936.18545561
05/15/2020,9809.91,9844.66,9112.0,9306.21,17324.14460144
05/16/2020,9307.43,9590.0,9216.08,9389.07,6170.09609719
05/17/2020,9377.79,9894.88,9326.53,9665.7,9515.79358021
05/18/2020,9672.95,9966.12,9451.2,9721.91,12362.32763823
05/19/2020,9730.0,9903.89,9455.05,9787.65,12149.68534917
05/20/2020,9776.3,9843.87,9100.0,9516.51,12351.42817701
05/21/2020,9505.61,9573.29,8800.0,9062.47,16879.82890788
05/22/2020,9062.25,9272.97,8924.91,9171.96,7261.28419694
05/23/2020,9171.96,9316.12,9084.83,9183.46,3477.27850858
05/24/2020,9183.93,9310.91,8669.0,8718.77,8855.47763284
05/25/2020,8710.12,8984.16,8630.0,8903.56,8919.92378955
05/26/2020,8903.22,9012.0,8690.0,8840.91,5923.00523696
05/27/2020,8835.79,9230.21,8810.99,9210.0,6867.67101935
05/28/2020,9209.99,9625.01,9105.79,9577.38,11523.40889483
05/29/2020,9581.49,9610.0,9330.0,9421.04,7226.77389995
05/30/2020,9428.52,9758.27,9326.28,9705.1,6781.84196225
05/31/2020,9705.1,9711.7,9373.96,9446.19,5697.99838373
06/01/2020,9444.61,10429.26,9416.5,10203.64,12109.14149664
06/02/2020,10203.64,10241.26,9135.68,9525.73,22725.11942099
06/03/2020,9522.52,9699.95,9380.99,9668.99,6928.76322878
06/04/2020,9668.0,9888.0,9430.0,9791.92,8938.7688887
06/05/2020,9791.0,9856.48,9592.74,9619.99,7157.37095675
06/06/2020,9616.17,9744.39,9525.76,9669.85,4047.26924742
06/07/2020,9673.08,9829.31,9356.0,9750.04,6762.65158822
06/08/2020,9759.04,9813.67,9645.0,9783.0,5379.07801648
06/09/2020,9786.64,9897.46,9566.81,9776.84,6922.79788471
06/10/2020,9782.3,10011.4,9578.0,9894.32,7107.20140335
06/11/2020,9894.32,9981.24,9078.91,9264.26,16389.44455357
06/12/2020,9265.95,9555.0,9230.0,9463.07,6934.13533535
06/13/2020,9465.92,9500.0,9345.71,9473.46,2938.68222067
06/14/2020,9478.93,9479.59,9235.01,9329.99,3477.25235863
06/15/2020,9329.99,9505.4,8900.0,9435.15,11765.1135339
06/16/2020,9435.41,9596.31,9374.9,9530.3,6864.21822439
06/17/2020,9530.62,9566.53,9230.32,9461.29,5902.36636044
06/18/2020,9459.82,9478.69,9250.0,9374.78,3997.01284654
06/19/2020,9374.83,9429.99,9225.15,9304.32,5305.9077191
06/20/2020,9287.6,9400.0,9138.0,9355.46,3071.79384829
06/21/2020,9355.93,9421.26,9271.52,9283.03,1435.21189641
06/22/2020,9287.89,9798.76,9267.2,9683.12,6615.64540882
06/23/2020,9688.26,9725.3,9571.0,9622.81,4866.11470545
06/24/2020,9617.88,9666.35,9193.99,9286.06,10072.57541802
06/25/2020,9286.3,9343.49,8989.0,9239.48,8701.2461746
06/26/2020,9237.98,9289.71,9024.61,9158.26,7912.38375487
06/27/2020,9158.13,9189.0,8830.63,9009.3,4399.67602419
06/28/2020,9008.33,9191.72,8933.06,9118.01,3231.85728086
06/29/2020,9118.8,9240.36,9014.92,9188.88,4942.72533003
06/30/2020,9187.85,9201.95,9060.0,9132.96,2781.63125132
07/01/2020,9136.89,9300.0,9089.8,9233.38,4321.56559235
07/02/2020,9230.97,9268.54,8939.0,9092.92,6866.04897352
07/03/2020,9091.68,9127.11,9027.17,9063.08,3510.00353809
07/04/2020,9053.87,9196.0,9045.94,9138.52,2180.37237178
07/05/2020,9142.16,9147.37,8905.0,9076.82,3067.87780852
07/06/2020,9077.18,9376.34,9060.5,9348.22,5361.35284949
07/07/2020,9346.9,9385.81,9201.78,9257.16,4702.82565367
07/08/2020,9257.21,9479.57,9228.91,9437.16,6275.54666358
07/09/2020,9441.76,9448.5,9157.11,9234.9,4575.44853951
07/10/2020,9234.91,9318.92,9053.14,9283.53,3910.32678996
07/11/2020,9291.0,9304.95,9180.0,9238.3,1453.16535935
07/12/2020,9234.07,9347.76,9153.48,9306.17,2037.15363045
07/13/2020,9304.94,9351.17,9190.49,9233.1,3875.17319052
07/14/2020,9234.19,9282.08,9095.0,9251.59,4479.91060569
07/15/2020,9256.33,9276.98,9153.38,9190.07,3810.04841103
07/16/2020,9191.0,9217.5,9026.51,9132.87,5541.85389383
07/17/2020,9134.44,9184.28,9073.53,9156.5,3593.49712953
07/18/2020,9150.51,9214.63,9122.72,9177.43,1358.28531978
07/19/2020,9175.7,9243.36,9106.3,9211.99,1585.39916859
07/20/2020,9213.15,9224.73,9128.21,9162.43,3064.80739401
07/21/2020,9161.77,9442.89,9152.23,9391.25,5559.47430975
07/22/2020,9395.98,9573.0,9280.8,9539.51,5520.76262356
07/23/2020,9537.23,9690.0,9453.38,9617.2,10413.94384743
07/24/2020,9614.85,9650.55,9474.35,9547.91,8012.90509154
07/25/2020,9549.34,9751.82,9532.79,9710.98,5065.44989566
07/26/2020,9712.45,10200.0,9657.0,9944.65,9090.21430682
07/27/2020,9941.25,11417.11,9933.77,11046.19,27736.83221358
07/28/2020,11049.4,11263.85,10583.48,10939.27,17062.37380128
07/29/2020,10931.91,11358.47,10855.81,11111.17,12452.86303565
07/30/2020,11105.01,11189.0,10832.0,11112.12,10456.84804792
